indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
———————————,8688,genus,-2382389,A.Galago,EOL-000000640833,B.Galago,=,,,,canonicalName,source; taxonomicStatus; number_of_children; scientificName,
————————————,8689,species,-2420020,A.Galago senegalensis,EOL-000000640834,B.Galago senegalensis,=,,,,canonicalName,source; taxonomicStatus; number_of_children; scientificName,
—————————————,8690,subspecies,-2436427,A.Galago senegalensis braccatus,EOL-000000640835,B.Galago senegalensis braccatus,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
—————————————,8691,subspecies,-2436428,A.Galago senegalensis senegalensis,EOL-000000640836,B.Galago senegalensis senegalensis,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
—————————————,8692,subspecies,-2436429,A.Galago senegalensis dunni,EOL-000000640837,B.Galago senegalensis dunni,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
—————————————,8693,subspecies,-2436424,A.Galago senegalensis sotikae,EOL-000000640838,B.Galago senegalensis sotikae,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
————————————,8694,species,-2420025,A.Galago moholi,EOL-000000640839,B.Galago moholi,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8695,species,-2420023,A.Galago matschiei,EOL-000000640840,B.Galago matschiei,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8696,species,-2420018,A.Galago gallarum,EOL-000000640841,B.Galago gallarum,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————,8697,clade,,,EOL-000000640851,B.Adapiformes,><,-1352180,A.Euarchonta,reorganization,A.Hoanghonius is in; its sibling A.Hemiacodon is not,,
——————————,8698,family,,,EOL-000000640852,B.Adapidae,>,-2328676,A.Notharctidae,,B.Afradapis is not in it,,
———————————,8699,genus,-1871559,A.Mescalerolemur,EOL-000000640853,B.Mescalerolemur,=,,,moved,canonicalName,source; taxonomicStatus; number_of_children; scientificName,shared tip
———————————,8700,genus,-1871561,A.Afradapis,EOL-000000640856,B.Afradapis,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
——————————,8701,family,,,EOL-000000640857,B.Notharctidae,><,-1599794,A.Primates,reorganization,A.Periconodon is in; its sibling A.Dyseolemur is not,,
———————————,8702,genus,-2382328,A.Protoadapis,EOL-000000640858,B.Protoadapis,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
———————————,8703,genus,-2382346,A.Pronycticebus,EOL-000000640859,B.Pronycticebus,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
———————————,8704,genus,-2382349,A.Donrussellia,EOL-000000640860,B.Donrussellia,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
———————————,8705,genus,-2382333,A.Panobius,EOL-000000640861,B.Panobius,=,,,moved,canonicalName,source; taxonomicStatus; number_of_children; scientificName,shared tip
———————————,8706,genus,-2382341,A.Agerinia,EOL-000000640862,B.Agerinia,=,,,moved,canonicalName,source; taxonomicStatus; number_of_children; scientificName,shared tip
———————————,8707,genus,-2228631,A.Periconodon,EOL-000000640863,B.Periconodon,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
———————————,8708,genus,-2382329,A.Anchomomys,EOL-000000640864,B.Anchomomys,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
——————————,8709,family,,,EOL-000000640865,B.Sivaladapidae,>,-2328772,A.Amphipithecidae,,B.Hoanghonius is not in it,,
———————————,8710,genus,-2382352,A.Sivaladapis,EOL-000000640867,B.Sivaladapis,=,,,moved,canonicalName,source; taxonomicStatus; number_of_children; scientificName,shared tip
———————————,8711,genus,,,EOL-000000640868,B.Ramadapis,,,,,,,
————————————,8712,species,,,EOL-000000640869,B.Ramadapis sahnii,,,,,,,
———————————,8713,genus,-2228696,A.Lushius,EOL-000000640870,B.Lushius,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
———————————,8714,genus,-2382331,A.Indraloris,EOL-000000640871,B.Indraloris,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
———————————,8715,genus,-2228681,A.Wailekia,EOL-000000640872,B.Wailekia,=,,,moved,canonicalName,source; taxonomicStatus; number_of_children; scientificName,shared tip
———————————,8716,genus,-2382347,A.Sinoadapis,EOL-000000640873,B.Sinoadapis,=,,,moved,canonicalName,source; taxonomicStatus; number_of_children; scientificName,shared tip
———————————,8717,genus,-2228651,A.Hoanghonius,EOL-000000640874,B.Hoanghonius,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
——————————,8718,genus,,,EOL-000000640876,B.Bugtilemur,~,-2419958,A.Bugtilemur mathesoni,,monotypic-inversion,,
———————————,8719,species,-2419958,A.Bugtilemur mathesoni,EOL-000000640877,B.Bugtilemur mathesoni,=,,,moved,scientificName,source; taxonomicStatus,shared tip
